data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-06-16 14:47:16.205489;50;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Randy Pagan;masculino;boleto
2025-06-16 15:20:20.003515;51;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Dora Kennelly;feminino;dinheiro
2025-06-16 16:08:10.625279;52;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Jonathan Becker;masculino;boleto
2025-06-17 09:35:22.310546;53;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Georgie Topp;feminino;pix
2025-06-17 09:43:10.975366;54;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Cheryl Huie;feminino;dinheiro
2025-06-17 11:33:31.043815;55;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Mary Magee;feminino;cartão de crédito
2025-06-17 13:24:08.801060;56;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Ivory Limmel;masculino;dinheiro
2025-06-18 09:09:10.131955;57;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Candace Birks;feminino;boleto
2025-06-18 10:03:13.529780;58;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Steven Craig;masculino;pix
2025-06-18 13:21:43.579701;59;Florianópolis;Tiago Lima;Smartwatch Garmin;Riley Davis;masculino;pix
2025-06-18 14:35:20.665443;60;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Gretchen Flores;feminino;cartão de crédito
2025-06-18 14:56:41.225873;61;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Rodney Badgett;masculino;cartão de crédito
2025-06-18 15:09:14.531798;62;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Norma Silver;feminino;pix
2025-06-18 15:28:10.691840;63;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Harold Riding;masculino;pix
2025-06-19 08:39:08.088799;64;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Latoya Jankowski;feminino;pix
2025-06-19 08:47:24.854943;65;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Nichelle Mitchell;feminino;boleto
2025-06-19 11:58:09.369021;66;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Mary Ricard;feminino;cartão de crédito
2025-06-19 13:36:41.492327;67;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Zoila Frija;feminino;cartão de crédito
2025-06-19 13:37:12.398018;68;Florianópolis;Gabriela Santos;Smartwatch Garmin;Alexandra Pickering;feminino;cartão de crédito
2025-06-19 13:48:53.026311;69;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Renae Brock;feminino;boleto
2025-06-19 15:35:49.787225;70;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Shelby Aguilar;feminino;dinheiro
2025-06-19 16:32:12.304974;71;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Lashanda Stamey;feminino;dinheiro
2025-06-20 10:48:52.722818;72;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Wilma Lindsay;feminino;pix
2025-06-21 08:38:36.045316;73;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Jordan Carpenter;masculino;boleto
2025-06-21 10:43:49.649780;74;Florianópolis;Tiago Lima;Tablet Apple Ipad;Lyle Spotted;masculino;dinheiro
2025-06-21 11:12:11.239206;75;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Thomas Garcia;masculino;dinheiro
2025-06-21 11:47:28.298685;76;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Christopher Cruz;masculino;dinheiro
2025-06-21 11:57:17.834719;77;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Ruth Privitera;feminino;boleto
2025-06-21 12:54:18.159264;78;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Tiffany Metcalf;feminino;pix
2025-06-21 15:06:11.962537;79;Florianópolis;Gabriela Santos;Smartwatch Garmin;Janice Mills;feminino;pix
2025-06-21 15:50:08.012969;80;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Trevor Robinson;masculino;dinheiro
2025-06-22 06:06:51.263683;81;São Paulo;Lucas Pereira;Tablet Apple Ipad;Earl Gutshall;masculino;cartão de crédito
2025-06-22 12:41:11.922347;82;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Dean Klein;masculino;boleto
2025-06-22 12:59:10.627301;83;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Jimmy Madera;masculino;boleto
2025-06-23 09:34:51.673201;84;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Joyce Osmond;feminino;cartão de crédito
2025-06-23 11:28:56.274089;85;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Jessica Krouse;feminino;cartão de crédito
2025-06-23 13:40:52.074116;86;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Daniel Sumpter;masculino;boleto
2025-06-23 16:07:09.659165;87;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Olga Smith;feminino;boleto
2025-06-24 07:04:53.350676;88;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Roy Miner;masculino;cartão de crédito
2025-06-24 10:01:52.329596;89;São Paulo;Ana Oliveira;Smartwatch Garmin;James Boles;masculino;cartão de crédito
2025-06-24 10:43:10.897374;90;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;John Urena;masculino;pix
2025-06-24 12:39:09.192153;91;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Pamela Wagner;feminino;dinheiro
2025-06-24 14:18:10.969354;92;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Paul Trevino;masculino;boleto
2025-06-24 14:34:39.203989;93;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Angelique Mccrary;feminino;boleto
2025-06-24 14:49:10.612265;94;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Juan Reynolds;masculino;pix
2025-06-25 06:13:12.405539;95;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Kelsi Staples;feminino;cartão de crédito
2025-06-25 06:47:07.802930;96;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;David Gerhardt;masculino;boleto
2025-06-25 08:08:56.959176;97;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Michael Lower;masculino;cartão de crédito
2025-06-25 08:29:17.567418;98;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Carol Fleming;feminino;dinheiro
2025-06-25 10:39:09.477208;99;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Kaye Guess;feminino;pix
2025-06-25 12:26:40.438037;100;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Christine Bencomo;feminino;dinheiro
2025-06-26 07:04:11.858859;101;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Franklin Veazey;masculino;boleto
2025-06-26 07:55:39.561641;102;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Michelle Mulinix;feminino;dinheiro
2025-06-26 07:59:10.085405;103;São Paulo;Lucas Pereira;Smartwatch Garmin;Tina Hill;feminino;cartão de crédito
2025-06-26 08:18:41.447788;104;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Sonja Wallis;feminino;cartão de crédito
2025-06-26 09:11:08.151893;105;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Angel Myers;feminino;dinheiro
2025-06-26 14:22:10.959397;106;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Shane Bolton;masculino;cartão de crédito
2025-06-26 14:59:19.949459;107;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Lydia Crass;feminino;pix
2025-06-27 08:09:13.825668;108;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Linda Moore;feminino;boleto
2025-06-27 08:20:12.867392;109;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Jill Byrd;feminino;pix
2025-06-27 09:54:10.345850;110;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Eric Allen;masculino;boleto
2025-06-27 10:12:55.016903;111;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Michaele Walker;feminino;dinheiro
2025-06-27 11:04:09.488261;112;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Walter Hodges;masculino;dinheiro
2025-06-27 12:07:13.067991;113;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Kenneth Zack;masculino;boleto
2025-06-27 15:07:50.622951;114;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Jennifer Rodriguez;feminino;pix
2025-06-28 05:52:38.381324;115;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Maria Ferguson;feminino;dinheiro
2025-06-28 07:51:07.278840;116;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Maria Ramos;feminino;boleto
2025-06-28 10:35:24.828946;117;São Paulo;Lucas Pereira;Smartwatch Garmin;Homer Mccrory;masculino;cartão de crédito
2025-06-28 10:52:36.047304;118;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Janet Alfandre;feminino;dinheiro
2025-06-28 11:01:52.046009;119;Florianópolis;Tiago Lima;Tablet Apple Ipad;James Shumway;masculino;dinheiro
2025-06-29 08:17:43.261690;120;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Richard Rose;masculino;pix
2025-06-29 11:08:10.620282;121;Florianópolis;Tiago Lima;Notebook Dell Inspiron;James Sanchez;masculino;dinheiro
2025-06-29 12:57:14.057372;122;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Rose Gore;feminino;dinheiro
2025-06-29 12:57:50.548854;123;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Ben Moore;masculino;dinheiro
2025-06-30 06:10:10.506235;124;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Laura Shurman;feminino;cartão de crédito
2025-06-30 08:23:12.326978;125;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Melissa Wright;feminino;pix
2025-06-30 10:09:31.820928;126;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Mary Colella;feminino;dinheiro
2025-06-30 12:48:22.638040;127;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Anne Molino;feminino;boleto
2025-06-30 14:00:10.425972;128;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;William Lind;masculino;boleto
2025-06-30 14:17:09.922484;129;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Francisco Day;masculino;pix
2025-07-01 09:11:11.027947;130;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Glenda Banuelos;feminino;cartão de crédito
2025-07-01 09:56:19.657608;131;São Paulo;Lucas Pereira;Tablet Apple Ipad;Howard Hamilton;masculino;dinheiro
2025-07-01 12:26:13.160768;132;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Herbert Arciniega;masculino;dinheiro
2025-07-01 13:57:07.726090;133;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Michael Garcia;masculino;cartão de crédito
2025-07-01 15:56:29.798355;134;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Moises Darcangelo;masculino;dinheiro
2025-07-01 16:03:15.188647;135;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Nona Whitehead;feminino;pix
2025-07-02 06:38:33.523929;136;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Marcus Davis;masculino;boleto
2025-07-02 07:41:56.331892;137;São Paulo;Lucas Pereira;Smartwatch Garmin;Kimberly Markis;feminino;cartão de crédito
2025-07-02 12:02:50.178695;138;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Kathryn Conrad;feminino;dinheiro
2025-07-02 13:29:12.099320;139;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Patricia Smith;feminino;boleto
2025-07-02 14:36:37.518245;140;São Paulo;Ana Oliveira;Smartwatch Garmin;Neomi Mccoy;feminino;boleto
2025-07-03 10:04:51.585172;141;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Kristi Johnson;feminino;cartão de crédito
2025-07-03 10:27:13.208860;142;São Paulo;Lucas Pereira;Fone de Ouvido Sony;John Baugh;masculino;pix
2025-07-03 10:27:55.205666;143;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Henry Smith;masculino;dinheiro
2025-07-04 06:14:56.285241;144;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Kevin Whitley;masculino;cartão de crédito
2025-07-04 06:47:38.233997;145;São Paulo;Ana Oliveira;Tablet Apple Ipad;Carlos Berkley;masculino;boleto
2025-07-04 08:08:52.138222;146;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Mary Baum;feminino;cartão de crédito
2025-07-04 09:57:31.814932;147;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Eloy Thomas;masculino;dinheiro
2025-07-04 10:06:50.520855;148;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Donald Huntley;masculino;boleto
2025-07-04 10:07:53.399868;149;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Michael Huffman;masculino;boleto
2025-07-04 15:22:52.105244;150;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Kelly Garcia;feminino;cartão de crédito
2025-07-05 10:20:07.556329;151;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Myrtle Shelby;feminino;cartão de crédito
2025-07-05 13:54:52.144235;152;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Thelma Williams;feminino;dinheiro
2025-07-06 05:44:52.898498;153;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Vergie Sheppard;feminino;cartão de crédito
2025-07-06 05:53:41.113662;154;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Dan Murray;masculino;pix
2025-07-06 09:33:10.165468;155;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Robert Toro;masculino;boleto
2025-07-06 11:05:52.883975;156;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Helen Zamora;feminino;cartão de crédito
2025-07-06 11:25:06.857834;157;Florianópolis;Gabriela Santos;Smartwatch Garmin;Laura Cason;feminino;dinheiro
2025-07-06 12:01:55.956972;158;São Paulo;Ana Oliveira;Smartwatch Garmin;Michael Acencio;masculino;cartão de crédito
2025-07-06 12:05:09.203199;159;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Aaron Berger;masculino;pix
2025-07-06 13:36:15.935715;160;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Allen Santamaria;masculino;cartão de crédito
2025-07-06 15:43:47.278678;161;Florianópolis;Tiago Lima;Smartwatch Garmin;Cheryl Head;feminino;cartão de crédito
2025-07-07 06:27:56.286243;162;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Ted Verge;masculino;dinheiro
2025-07-07 06:46:09.204197;163;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Angela Pastel;feminino;boleto
2025-07-07 07:07:52.985131;164;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Brandon Exline;masculino;dinheiro
2025-07-07 12:17:19.438338;165;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Nereida Anderson;feminino;boleto
2025-07-07 12:36:07.238123;166;São Paulo;Ana Oliveira;Tablet Apple Ipad;Tracy Bartels;feminino;boleto
2025-07-07 15:08:14.334408;167;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Kayla Lupu;feminino;cartão de crédito
2025-07-08 07:05:07.814933;168;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Miriam Lee;feminino;cartão de crédito
2025-07-08 08:11:10.682720;169;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Carolyn Brown;feminino;boleto
2025-07-08 11:50:51.512148;170;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Howard Redington;masculino;boleto
2025-07-08 11:51:07.454648;171;Florianópolis;Gabriela Santos;Smartwatch Garmin;John Burnell;masculino;pix
2025-07-08 13:28:19.664175;172;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Emanuel Williams;masculino;cartão de crédito
2025-07-08 14:40:08.146896;173;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Victor Howard;masculino;dinheiro
2025-07-09 10:40:24.287548;174;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Sharon Taggart;feminino;cartão de crédito
2025-07-09 10:53:11.919258;175;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Sonja Blevins;feminino;dinheiro
2025-07-09 11:08:18.369635;176;São Paulo;Ana Oliveira;Smartwatch Garmin;Dennis Graves;masculino;boleto
2025-07-09 15:36:54.519427;177;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Ryan Zepeda;masculino;dinheiro
2025-07-09 15:44:18.189380;178;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Roy Bussell;masculino;pix
2025-07-09 16:34:12.520288;179;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Joanne Hoopes;feminino;pix
2025-07-10 07:30:56.481776;180;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Dawn Hinaman;feminino;dinheiro
2025-07-10 08:50:49.857826;181;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Phil Fennimore;masculino;cartão de crédito
2025-07-10 14:13:18.239501;182;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Anna Ryant;feminino;pix
2025-07-10 15:13:55.677154;183;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Gabriel Richard;masculino;pix
2025-07-10 16:25:14.839259;184;São Paulo;Lucas Pereira;Smartwatch Garmin;Daniel Schmidt;masculino;cartão de crédito
2025-07-11 05:42:08.944840;185;Florianópolis;Tiago Lima;Smartwatch Garmin;Christopher Romero;masculino;boleto
2025-07-11 10:23:31.995155;186;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Gary Andrews;masculino;boleto
2025-07-11 11:53:20.068095;187;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Tracy Lamblin;feminino;cartão de crédito
2025-07-11 13:49:18.222491;188;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Jeremy Rose;masculino;boleto
2025-07-11 14:29:47.284701;189;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Carolyn Bailey;feminino;cartão de crédito
2025-07-11 15:37:12.988907;190;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Diane Kasper;feminino;cartão de crédito
2025-07-12 06:32:52.724815;191;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Danielle Rocco;feminino;pix
2025-07-12 07:30:52.328070;192;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Anthony Craig;masculino;dinheiro
2025-07-12 07:56:51.636286;193;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Don Grice;masculino;dinheiro
2025-07-12 08:42:31.883020;194;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Mary Burns;feminino;dinheiro
2025-07-12 13:07:44.577407;195;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Marie Gabriel;feminino;pix
2025-07-12 14:37:11.133088;196;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Mercedes Gibson;feminino;dinheiro
2025-07-12 16:06:54.802496;197;São Paulo;Ana Oliveira;Tablet Apple Ipad;David Grant;masculino;dinheiro
2025-07-12 16:38:09.309748;198;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Carlos Aguirre;masculino;boleto
2025-07-13 05:58:44.350977;199;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Jennifer Foster;feminino;boleto
2025-07-13 06:41:06.739284;200;Florianópolis;Gabriela Santos;Smartwatch Garmin;Kristin Cowan;feminino;boleto
2025-07-13 10:06:07.436645;201;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Kevin Stancil;masculino;dinheiro
2025-07-13 14:39:11.523781;202;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Myrtle Knight;feminino;boleto
2025-07-13 15:12:52.044010;203;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Linda Hastings;feminino;dinheiro
2025-07-13 15:22:56.633214;204;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Lawrence Lyle;masculino;cartão de crédito
2025-07-13 15:43:13.821661;205;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Sandra Hernandez;feminino;pix
2025-07-13 16:38:20.663449;206;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Lorraine Childers;feminino;dinheiro
2025-07-14 05:54:17.515126;207;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Frederick Crider;masculino;boleto
2025-07-14 11:29:07.841083;208;Belo Horizonte;Carlos Silva;Smartwatch Garmin;James Gough;masculino;cartão de crédito
2025-07-14 11:58:17.586426;209;São Paulo;Ana Oliveira;Tablet Apple Ipad;Bobby Kegley;masculino;cartão de crédito
2025-07-14 12:48:52.089052;210;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Robert Ashlock;masculino;cartão de crédito
2025-07-14 13:30:07.460649;211;São Paulo;Ana Oliveira;Tablet Apple Ipad;Dolores Hoffman;feminino;pix
2025-07-14 14:27:07.237127;212;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Mandy House;feminino;cartão de crédito
